service	process_id	thread_count	total_objects	total_size (mb)	elapsed_time (s)	throughput (objects/s)	bandwidth (mb/s)
s3	624373	1	10	5.0	3.261914706992684	3.0656840838182067	1.5328420419091033
s3	624373	1	5	5.0	1.5529734769952483	3.2196300027442764	3.2196300027442764
s3	624373	1	3	6.0	1.557790444989223	1.9258045969210924	3.851609193842185
s3	624373	1	2	8.0	1.5437656280118972	1.2955334434901584	5.182133773960634
s3	624373	1	1	8.0	2.1286964760220144	0.46977106001920127	3.75816848015361
s3	624373	1	1	16.0	6.428840370994294	0.15554904808522077	2.4887847693635323
s3	624373	1	1	32.0	6.818721846007975	0.14665505098810427	4.692961631619337
